date,position,cost,name,date
2008-09-25,605302,66.08270263671875,TLT,2008-09-25
2008-09-25,461307,86.70999908447266,GLD,2008-09-25
2008-09-25,-214895,93.06828308105469,SPY,2008-09-25
2008-09-26,606528,65.94913482666016,TLT,2008-09-26
2008-09-26,462695,86.44999694824219,GLD,2008-09-26
2008-09-26,-211586,94.52381896972656,SPY,2008-09-26
2008-09-29,599071,66.42710876464844,TLT,2008-09-29
2008-09-29,459309,86.63999938964844,GLD,2008-09-29
2008-09-29,-210395,94.57076263427734,SPY,2008-09-29
2008-09-30,584283,68.36022186279297,TLT,2008-09-30
2008-09-30,445927,89.56999969482422,GLD,2008-09-30
2008-09-30,-229128,87.16006469726562,SPY,2008-09-30
2008-10-01,623245,66.69426727294922,TLT,2008-10-01
2008-10-01,488620,85.06999969482422,GLD,2008-10-01
2008-10-01,-228974,90.76759338378906,SPY,2008-10-01
2008-10-02,592955,67.5333023071289,TLT,2008-10-02
2008-10-02,465793,85.97000122070312,GLD,2008-10-02
2008-10-02,-220453,90.8223648071289,SPY,2008-10-02
2008-10-03,593809,68.07624816894531,TLT,2008-10-03
2008-10-03,491003,82.33000183105469,GLD,2008-10-03
2008-10-03,-230922,87.5278549194336,SPY,2008-10-03
2008-10-06,584857,68.6755599975586,TLT,2008-10-06
2008-10-06,486323,82.58999633789062,GLD,2008-10-06
2008-10-06,-232583,86.3462142944336,SPY,2008-10-06
2008-10-07,578746,69.92353057861328,TLT,2008-10-07
2008-10-07,480161,84.27999877929688,GLD,2008-10-07
2008-10-07,-246911,81.94829559326172,SPY,2008-10-07
2008-10-08,595275,69.71202850341797,TLT,2008-10-08
2008-10-08,475511,87.2699966430664,GLD,2008-10-08
2008-10-08,-265066,78.27815246582031,SPY,2008-10-08
2008-10-09,616870,68.71080017089844,TLT,2008-10-09
2008-10-09,474006,89.41999816894531,GLD,2008-10-09
2008-10-09,-277734,76.30612182617188,SPY,2008-10-09
2008-10-10,627676,68.13262939453125,TLT,2008-10-10
2008-10-10,475698,89.9000015258789,GLD,2008-10-10
2008-10-10,-301261,70.97698211669922,SPY,2008-10-10
2008-10-13,640112,67.65312194824219,TLT,2008-10-13
2008-10-13,520375,83.22000122070312,GLD,2008-10-13
2008-10-13,-312651,69.25538635253906,SPY,2008-10-13
2008-10-14,630696,66.78593444824219,TLT,2008-10-14
2008-10-14,513741,81.98999786376953,GLD,2008-10-14
2008-10-14,-265546,79.31111145019531,SPY,2008-10-14
2008-10-15,608628,66.35579681396484,TLT,2008-10-15
2008-10-15,491314,82.19999694824219,GLD,2008-10-15
2008-10-15,-258429,78.13729858398438,SPY,2008-10-15
2008-10-16,603748,66.99040222167969,TLT,2008-10-16
2008-10-16,485479,83.30999755859375,GLD,2008-10-16
2008-10-16,-287070,70.4448471069336,SPY,2008-10-16
2008-10-17,624401,66.6448974609375,TLT,2008-10-17
2008-10-17,524822,79.29000091552734,GLD,2008-10-17
2008-10-17,-283547,73.37938690185547,SPY,2008-10-17
2008-10-20,610578,66.18656921386719,TLT,2008-10-20
2008-10-20,523404,77.20999908447266,GLD,2008-10-20
2008-10-20,-277018,72.941162109375,SPY,2008-10-20
2008-10-21,598222,66.71539306640625,TLT,2008-10-21
2008-10-21,508416,78.5,GLD,2008-10-21
2008-10-21,-258076,77.32345581054688,SPY,2008-10-21
2008-10-22,593790,67.06791687011719,TLT,2008-10-22
2008-10-22,523797,76.02999877929688,GLD,2008-10-22
2008-10-22,-265442,75.01493835449219,SPY,2008-10-22
2008-10-23,579356,68.42877197265625,TLT,2008-10-23
2008-10-23,552847,71.70999908447266,GLD,2008-10-23
2008-10-23,-279463,70.9300537109375,SPY,2008-10-23
2008-10-24,572940,68.9364242553711,TLT,2008-10-24
2008-10-24,559044,70.6500015258789,GLD,2008-10-24
2008-10-24,-275230,71.751708984375,SPY,2008-10-24
2008-10-27,576042,68.2031021118164,TLT,2008-10-27
2008-10-27,544078,72.20999908447266,GLD,2008-10-27
2008-10-27,-288402,68.11287689208984,SPY,2008-10-27
2008-10-28,584143,68.25251770019531,TLT,2008-10-28
2008-10-28,552358,72.18000030517578,GLD,2008-10-28
2008-10-28,-303443,65.69480895996094,SPY,2008-10-28
2008-10-29,584143,68.25251770019531,TLT,2008-10-29
2008-10-29,552358,72.18000030517578,GLD,2008-10-29
2008-10-29,-303443,65.69480895996094,SPY,2008-10-29
2008-10-30,584143,68.25251770019531,TLT,2008-10-30
2008-10-30,552358,72.18000030517578,GLD,2008-10-30
2008-10-30,-303443,65.69480895996094,SPY,2008-10-30
2008-10-31,584143,68.25251770019531,TLT,2008-10-31
2008-10-31,552358,72.18000030517578,GLD,2008-10-31
2008-10-31,-303443,65.69480895996094,SPY,2008-10-31
2008-11-03,584143,68.25251770019531,TLT,2008-11-03
2008-11-03,552358,72.18000030517578,GLD,2008-11-03
2008-11-03,-303443,65.69480895996094,SPY,2008-11-03
2008-11-04,584143,68.25251770019531,TLT,2008-11-04
2008-11-04,552358,72.18000030517578,GLD,2008-11-04
2008-11-04,-303443,65.69480895996094,SPY,2008-11-04
2008-11-05,584143,68.25251770019531,TLT,2008-11-05
2008-11-05,552358,72.18000030517578,GLD,2008-11-05
2008-11-05,-303443,65.69480895996094,SPY,2008-11-05
2008-11-06,584143,68.25251770019531,TLT,2008-11-06
2008-11-06,552358,72.18000030517578,GLD,2008-11-06
2008-11-06,-303443,65.69480895996094,SPY,2008-11-06
2008-11-07,584143,68.25251770019531,TLT,2008-11-07
2008-11-07,552358,72.18000030517578,GLD,2008-11-07
2008-11-07,-303443,65.69480895996094,SPY,2008-11-07
2008-11-10,584143,68.25251770019531,TLT,2008-11-10
2008-11-10,552358,72.18000030517578,GLD,2008-11-10
2008-11-10,-303443,65.69480895996094,SPY,2008-11-10
2008-11-11,584143,68.25251770019531,TLT,2008-11-11
2008-11-11,552358,72.18000030517578,GLD,2008-11-11
2008-11-11,-303443,65.69480895996094,SPY,2008-11-11
2008-11-12,584143,68.25251770019531,TLT,2008-11-12
2008-11-12,552358,72.18000030517578,GLD,2008-11-12
2008-11-12,-303443,65.69480895996094,SPY,2008-11-12
2008-11-13,584143,68.25251770019531,TLT,2008-11-13
2008-11-13,552358,72.18000030517578,GLD,2008-11-13
2008-11-13,-303443,65.69480895996094,SPY,2008-11-13
2008-11-14,584143,68.25251770019531,TLT,2008-11-14
2008-11-14,552358,72.18000030517578,GLD,2008-11-14
2008-11-14,-303443,65.69480895996094,SPY,2008-11-14
2008-11-17,584143,68.25251770019531,TLT,2008-11-17
2008-11-17,552358,72.18000030517578,GLD,2008-11-17
2008-11-17,-303443,65.69480895996094,SPY,2008-11-17
2008-11-18,584143,68.25251770019531,TLT,2008-11-18
2008-11-18,552358,72.18000030517578,GLD,2008-11-18
2008-11-18,-303443,65.69480895996094,SPY,2008-11-18
2008-11-19,583255,68.5398178100586,TLT,2008-11-19
2008-11-19,551319,72.51000213623047,GLD,2008-11-19
2008-11-19,-293320,68.14418029785156,SPY,2008-11-19
2008-11-20,568967,70.29539489746094,TLT,2008-11-20
2008-11-20,553498,72.26000213623047,GLD,2008-11-20
2008-11-20,-313557,63.77757263183594,SPY,2008-11-20
2008-11-21,552742,73.92693328857422,TLT,2008-11-21
2008-11-21,556332,73.44999694824219,GLD,2008-11-21
2008-11-21,-346040,59.043155670166016,SPY,2008-11-21
2008-11-24,583962,72.85798645019531,TLT,2008-11-24
2008-11-24,539585,78.8499984741211,GLD,2008-11-24
2008-11-24,-341858,62.228092193603516,SPY,2008-11-24
2008-11-25,600555,71.71833801269531,TLT,2008-11-25
2008-11-25,532330,80.91000366210938,GLD,2008-11-25
2008-11-25,-323646,66.53996276855469,SPY,2008-11-25
2008-11-26,577825,73.82788848876953,TLT,2008-11-26
2008-11-26,527508,80.87000274658203,GLD,2008-11-26
2008-11-26,-318198,67.03296661376953,SPY,2008-11-26
2008-11-28,582927,73.92693328857422,TLT,2008-11-28
2008-11-28,536129,80.37999725341797,GLD,2008-11-28
2008-11-28,-309480,69.62318420410156,SPY,2008-11-28
2008-12-01,582927,73.92693328857422,TLT,2008-12-01
2008-12-01,536129,80.37999725341797,GLD,2008-12-01
2008-12-01,-309480,69.62318420410156,SPY,2008-12-01
2008-12-02,582927,73.92693328857422,TLT,2008-12-02
2008-12-02,536129,80.37999725341797,GLD,2008-12-02
2008-12-02,-309480,69.62318420410156,SPY,2008-12-02
2008-12-03,582927,73.92693328857422,TLT,2008-12-03
2008-12-03,536129,80.37999725341797,GLD,2008-12-03
2008-12-03,-309480,69.62318420410156,SPY,2008-12-03
2008-12-04,582927,73.92693328857422,TLT,2008-12-04
2008-12-04,536129,80.37999725341797,GLD,2008-12-04
2008-12-04,-309480,69.62318420410156,SPY,2008-12-04
2008-12-05,582927,73.92693328857422,TLT,2008-12-05
2008-12-05,536129,80.37999725341797,GLD,2008-12-05
2008-12-05,-309480,69.62318420410156,SPY,2008-12-05
2008-12-08,582927,73.92693328857422,TLT,2008-12-08
2008-12-08,536129,80.37999725341797,GLD,2008-12-08
2008-12-08,-309480,69.62318420410156,SPY,2008-12-08
2008-12-09,582927,73.92693328857422,TLT,2008-12-09
2008-12-09,536129,80.37999725341797,GLD,2008-12-09
2008-12-09,-309480,69.62318420410156,SPY,2008-12-09
2008-12-10,582927,73.92693328857422,TLT,2008-12-10
2008-12-10,536129,80.37999725341797,GLD,2008-12-10
2008-12-10,-309480,69.62318420410156,SPY,2008-12-10
2008-12-11,582927,73.92693328857422,TLT,2008-12-11
2008-12-11,536129,80.37999725341797,GLD,2008-12-11
2008-12-11,-309480,69.62318420410156,SPY,2008-12-11
2008-12-12,582927,73.92693328857422,TLT,2008-12-12
2008-12-12,536129,80.37999725341797,GLD,2008-12-12
2008-12-12,-309480,69.62318420410156,SPY,2008-12-12
2008-12-15,582927,73.92693328857422,TLT,2008-12-15
2008-12-15,536129,80.37999725341797,GLD,2008-12-15
2008-12-15,-309480,69.62318420410156,SPY,2008-12-15
2008-12-16,582927,73.92693328857422,TLT,2008-12-16
2008-12-16,536129,80.37999725341797,GLD,2008-12-16
2008-12-16,-309480,69.62318420410156,SPY,2008-12-16
2008-12-17,582927,73.92693328857422,TLT,2008-12-17
2008-12-17,536129,80.37999725341797,GLD,2008-12-17
2008-12-17,-309480,69.62318420410156,SPY,2008-12-17
2008-12-18,582927,73.92693328857422,TLT,2008-12-18
2008-12-18,536129,80.37999725341797,GLD,2008-12-18
2008-12-18,-309480,69.62318420410156,SPY,2008-12-18
2008-12-19,582927,73.92693328857422,TLT,2008-12-19
2008-12-19,536129,80.37999725341797,GLD,2008-12-19
2008-12-19,-309480,69.62318420410156,SPY,2008-12-19
2008-12-22,582927,73.92693328857422,TLT,2008-12-22
2008-12-22,536129,80.37999725341797,GLD,2008-12-22
2008-12-22,-309480,69.62318420410156,SPY,2008-12-22
2008-12-23,582927,73.92693328857422,TLT,2008-12-23
2008-12-23,536129,80.37999725341797,GLD,2008-12-23
2008-12-23,-309480,69.62318420410156,SPY,2008-12-23
2008-12-24,582927,73.92693328857422,TLT,2008-12-24
2008-12-24,536129,80.37999725341797,GLD,2008-12-24
2008-12-24,-309480,69.62318420410156,SPY,2008-12-24
2008-12-26,582927,73.92693328857422,TLT,2008-12-26
2008-12-26,536129,80.37999725341797,GLD,2008-12-26
2008-12-26,-309480,69.62318420410156,SPY,2008-12-26
2009-03-04,636063,73.5180892944336,TLT,2009-03-04
2009-03-04,519349,90.04000091552734,GLD,2009-03-04
2009-03-04,-422971,55.27816390991211,SPY,2009-03-04
2009-03-05,638991,73.18128204345703,TLT,2009-03-05
2009-03-05,525476,88.98999786376953,GLD,2009-03-05
2009-03-05,-413183,56.587745666503906,SPY,2009-03-05
2009-03-06,638991,73.18128204345703,TLT,2009-03-06
2009-03-06,525476,88.98999786376953,GLD,2009-03-06
2009-03-06,-413183,56.587745666503906,SPY,2009-03-06
2009-03-09,638991,73.18128204345703,TLT,2009-03-09
2009-03-09,525476,88.98999786376953,GLD,2009-03-09
2009-03-09,-413183,56.587745666503906,SPY,2009-03-09
2009-03-10,638991,73.18128204345703,TLT,2009-03-10
2009-03-10,525476,88.98999786376953,GLD,2009-03-10
2009-03-10,-413183,56.587745666503906,SPY,2009-03-10
2009-03-11,638991,73.18128204345703,TLT,2009-03-11
2009-03-11,525476,88.98999786376953,GLD,2009-03-11
2009-03-11,-413183,56.587745666503906,SPY,2009-03-11
2009-03-12,638991,73.18128204345703,TLT,2009-03-12
2009-03-12,525476,88.98999786376953,GLD,2009-03-12
2009-03-12,-413183,56.587745666503906,SPY,2009-03-12
2009-03-13,638991,73.18128204345703,TLT,2009-03-13
2009-03-13,525476,88.98999786376953,GLD,2009-03-13
2009-03-13,-413183,56.587745666503906,SPY,2009-03-13
2009-03-16,638991,73.18128204345703,TLT,2009-03-16
2009-03-16,525476,88.98999786376953,GLD,2009-03-16
2009-03-16,-413183,56.587745666503906,SPY,2009-03-16
2009-03-17,638991,73.18128204345703,TLT,2009-03-17
2009-03-17,525476,88.98999786376953,GLD,2009-03-17
2009-03-17,-413183,56.587745666503906,SPY,2009-03-17
2009-03-18,638991,73.18128204345703,TLT,2009-03-18
2009-03-18,525476,88.98999786376953,GLD,2009-03-18
2009-03-18,-413183,56.587745666503906,SPY,2009-03-18
2009-03-19,638991,73.18128204345703,TLT,2009-03-19
2009-03-19,525476,88.98999786376953,GLD,2009-03-19
2009-03-19,-413183,56.587745666503906,SPY,2009-03-19
2011-08-08,579489,80.863037109375,TLT,2011-08-08
2011-08-08,289702,161.75,GLD,2011-08-08
2011-08-08,-234888,99.7481460571289,SPY,2011-08-08
2011-08-09,561756,83.41569519042969,TLT,2011-08-09
2011-08-09,280393,167.1199951171875,GLD,2011-08-09
2011-08-09,-251250,93.25218963623047,SPY,2011-08-09
2011-08-10,581862,83.6685791015625,TLT,2011-08-10
2011-08-10,288735,168.61000061035156,GLD,2011-08-10
2011-08-10,-249433,97.58837890625,SPY,2011-08-10
2011-08-11,562591,86.15799713134766,TLT,2011-08-11
2011-08-11,277647,174.5800018310547,GLD,2011-08-11
2011-08-11,-259826,93.27713012695312,SPY,2011-08-11
2011-08-12,613249,81.81136322021484,TLT,2011-08-12
2011-08-12,293826,170.75,GLD,2011-08-12
2011-08-12,-257381,97.4637680053711,SPY,2011-08-12
2011-08-15,579303,83.43148803710938,TLT,2011-08-15
2011-08-15,284357,169.97000122070312,GLD,2011-08-15
2011-08-15,-246291,98.12002563476562,SPY,2011-08-15
2011-08-16,588119,82.58588409423828,TLT,2011-08-16
2011-08-16,282714,171.8000030517578,GLD,2011-08-16
2011-08-16,-242375,100.19668579101562,SPY,2011-08-16
2011-08-17,576250,83.9531021118164,TLT,2011-08-17
2011-08-17,278162,173.9199981689453,GLD,2011-08-17
2011-08-17,-243494,99.34112548828125,SPY,2011-08-17
2011-08-18,573876,85.42306518554688,TLT,2011-08-18
2011-08-18,281058,174.4199981689453,GLD,2011-08-18
2011-08-18,-246572,99.40758514404297,SPY,2011-08-18
2011-08-19,573876,85.42306518554688,TLT,2011-08-19
2011-08-19,281058,174.4199981689453,GLD,2011-08-19
2011-08-19,-246572,99.40758514404297,SPY,2011-08-19
2011-08-22,573876,85.42306518554688,TLT,2011-08-22
2011-08-22,281058,174.4199981689453,GLD,2011-08-22
2011-08-22,-246572,99.40758514404297,SPY,2011-08-22
2011-08-23,573876,85.42306518554688,TLT,2011-08-23
2011-08-23,281058,174.4199981689453,GLD,2011-08-23
2011-08-23,-246572,99.40758514404297,SPY,2011-08-23
2011-08-24,573876,85.42306518554688,TLT,2011-08-24
2011-08-24,281058,174.4199981689453,GLD,2011-08-24
2011-08-24,-246572,99.40758514404297,SPY,2011-08-24
2011-08-25,573876,85.42306518554688,TLT,2011-08-25
2011-08-25,281058,174.4199981689453,GLD,2011-08-25
2011-08-25,-246572,99.40758514404297,SPY,2011-08-25
2011-08-26,573876,85.42306518554688,TLT,2011-08-26
2011-08-26,281058,174.4199981689453,GLD,2011-08-26
2011-08-26,-246572,99.40758514404297,SPY,2011-08-26
2011-08-29,573876,85.42306518554688,TLT,2011-08-29
2011-08-29,281058,174.4199981689453,GLD,2011-08-29
2011-08-29,-246572,99.40758514404297,SPY,2011-08-29
2011-08-30,573876,85.42306518554688,TLT,2011-08-30
2011-08-30,281058,174.4199981689453,GLD,2011-08-30
2011-08-30,-246572,99.40758514404297,SPY,2011-08-30
2011-08-31,573876,85.42306518554688,TLT,2011-08-31
2011-08-31,281058,174.4199981689453,GLD,2011-08-31
2011-08-31,-246572,99.40758514404297,SPY,2011-08-31
2011-09-01,573876,85.42306518554688,TLT,2011-09-01
2011-09-01,281058,174.4199981689453,GLD,2011-09-01
2011-09-01,-246572,99.40758514404297,SPY,2011-09-01
2011-09-02,573876,85.42306518554688,TLT,2011-09-02
2011-09-02,281058,174.4199981689453,GLD,2011-09-02
2011-09-02,-246572,99.40758514404297,SPY,2011-09-02
2011-09-06,573876,85.42306518554688,TLT,2011-09-06
2011-09-06,281058,174.4199981689453,GLD,2011-09-06
2011-09-06,-246572,99.40758514404297,SPY,2011-09-06
2011-09-07,573876,85.42306518554688,TLT,2011-09-07
2011-09-07,281058,174.4199981689453,GLD,2011-09-07
2011-09-07,-246572,99.40758514404297,SPY,2011-09-07
2011-09-08,573876,85.42306518554688,TLT,2011-09-08
2011-09-08,281058,174.4199981689453,GLD,2011-09-08
2011-09-08,-246572,99.40758514404297,SPY,2011-09-08
2011-09-09,573876,85.42306518554688,TLT,2011-09-09
2011-09-09,281058,174.4199981689453,GLD,2011-09-09
2011-09-09,-246572,99.40758514404297,SPY,2011-09-09
2011-09-12,573876,85.42306518554688,TLT,2011-09-12
2011-09-12,281058,174.4199981689453,GLD,2011-09-12
2011-09-12,-246572,99.40758514404297,SPY,2011-09-12
2011-09-13,573876,85.42306518554688,TLT,2011-09-13
2011-09-13,281058,174.4199981689453,GLD,2011-09-13
2011-09-13,-246572,99.40758514404297,SPY,2011-09-13
2011-09-30,544275,93.4094467163086,TLT,2011-09-30
2011-09-30,322387,157.6999969482422,GLD,2011-09-30
2011-09-30,-262336,96.89924621582031,SPY,2011-09-30
2011-10-03,530938,95.75576782226562,TLT,2011-10-03
2011-10-03,321652,158.05999755859375,GLD,2011-10-03
2011-10-03,-269060,94.4778060913086,SPY,2011-10-03
2011-10-04,524964,98.3909683227539,TLT,2011-10-04
2011-10-04,320898,160.9600067138672,GLD,2011-10-04
2011-10-04,-281360,91.78917694091797,SPY,2011-10-04
2011-10-05,544287,97.14329528808594,TLT,2011-10-05
2011-10-05,335409,157.63999938964844,GLD,2011-10-05
2011-10-05,-281839,93.80145263671875,SPY,2011-10-05
2011-10-06,538751,96.4439697265625,TLT,2011-10-06
2011-10-06,325845,159.4600067138672,GLD,2011-10-06
2011-10-06,-271929,95.53822326660156,SPY,2011-10-06
2011-10-07,538751,96.4439697265625,TLT,2011-10-07
2011-10-07,325845,159.4600067138672,GLD,2011-10-07
2011-10-07,-271929,95.53822326660156,SPY,2011-10-07
2011-10-10,538751,96.4439697265625,TLT,2011-10-10
2011-10-10,325845,159.4600067138672,GLD,2011-10-10
2011-10-10,-271929,95.53822326660156,SPY,2011-10-10
2011-10-11,538751,96.4439697265625,TLT,2011-10-11
2011-10-11,325845,159.4600067138672,GLD,2011-10-11
2011-10-11,-271929,95.53822326660156,SPY,2011-10-11
2011-10-12,538751,96.4439697265625,TLT,2011-10-12
2011-10-12,325845,159.4600067138672,GLD,2011-10-12
2011-10-12,-271929,95.53822326660156,SPY,2011-10-12
2011-10-13,538751,96.4439697265625,TLT,2011-10-13
2011-10-13,325845,159.4600067138672,GLD,2011-10-13
2011-10-13,-271929,95.53822326660156,SPY,2011-10-13
2011-10-14,538751,96.4439697265625,TLT,2011-10-14
2011-10-14,325845,159.4600067138672,GLD,2011-10-14
2011-10-14,-271929,95.53822326660156,SPY,2011-10-14
2011-10-17,538751,96.4439697265625,TLT,2011-10-17
2011-10-17,325845,159.4600067138672,GLD,2011-10-17
2011-10-17,-271929,95.53822326660156,SPY,2011-10-17
2013-06-03,536015,94.78829956054688,TLT,2013-06-03
2013-06-03,379390,133.9199981689453,GLD,2013-06-03
2013-06-03,-180153,141.0126953125,SPY,2013-06-03
2013-06-04,533190,95.2905502319336,TLT,2013-06-04
2013-06-04,372192,136.50999450683594,GLD,2013-06-04
2013-06-04,-179167,141.78915405273438,SPY,2013-06-04
2013-06-05,542871,94.41053009033203,TLT,2013-06-05
2013-06-05,379004,135.22999572753906,GLD,2013-06-05
2013-06-05,-181608,141.1075897216797,SPY,2013-06-05
2013-06-06,532036,95.71398162841797,TLT,2013-06-06
2013-06-06,375762,135.52000427246094,GLD,2013-06-06
2013-06-06,-183003,139.13192749023438,SPY,2013-06-06
2013-06-07,537278,95.65589904785156,TLT,2013-06-07
2013-06-07,376429,136.52999877929688,GLD,2013-06-07
2013-06-07,-183037,140.39154052734375,SPY,2013-06-07
2013-06-10,547562,93.9456558227539,TLT,2013-06-10
2013-06-10,385962,133.27999877929688,GLD,2013-06-10
2013-06-10,-180904,142.1773681640625,SPY,2013-06-10
2013-06-11,539624,93.4973373413086,TLT,2013-06-11
2013-06-11,376687,133.94000244140625,GLD,2013-06-11
2013-06-11,-177431,142.1773681640625,SPY,2013-06-11
2013-06-12,533318,94.60977172851562,TLT,2013-06-12
2013-06-12,378665,133.25,GLD,2013-06-12
2013-06-12,-179293,140.71072387695312,SPY,2013-06-12
2013-06-13,543633,93.25657653808594,TLT,2013-06-13
2013-06-13,377634,134.25,GLD,2013-06-13
2013-06-13,-181651,139.5460205078125,SPY,2013-06-13
2013-06-14,543633,93.25657653808594,TLT,2013-06-14
2013-06-14,377634,134.25,GLD,2013-06-14
2013-06-14,-181651,139.5460205078125,SPY,2013-06-14
2013-06-17,543633,93.25657653808594,TLT,2013-06-17
2013-06-17,377634,134.25,GLD,2013-06-17
2013-06-17,-181651,139.5460205078125,SPY,2013-06-17
2013-06-18,543633,93.25657653808594,TLT,2013-06-18
2013-06-18,377634,134.25,GLD,2013-06-18
2013-06-18,-181651,139.5460205078125,SPY,2013-06-18
2013-06-19,543633,93.25657653808594,TLT,2013-06-19
2013-06-19,377634,134.25,GLD,2013-06-19
2013-06-19,-181651,139.5460205078125,SPY,2013-06-19
2013-06-20,543633,93.25657653808594,TLT,2013-06-20
2013-06-20,377634,134.25,GLD,2013-06-20
2013-06-20,-181651,139.5460205078125,SPY,2013-06-20
2013-06-21,543633,93.25657653808594,TLT,2013-06-21
2013-06-21,377634,134.25,GLD,2013-06-21
2013-06-21,-181651,139.5460205078125,SPY,2013-06-21
2013-06-24,542375,89.99386596679688,TLT,2013-06-24
2013-06-24,390327,125.05000305175781,GLD,2013-06-24
2013-06-24,-176900,137.9600830078125,SPY,2013-06-24
2013-06-25,538465,90.36746215820312,TLT,2013-06-25
